Borough,Latitude,Longitude
Amstelveld,52.36312,4.898801
Bos en Lommer,52.380688,4.855018
Dapperbuurt,52.363382,4.926996
De Baarsjes,52.369763,4.853405
De Krommerdt,52.371958,4.867156
De Pijp,52.354052,4.896669
De Wallen,52.37175,4.89766
Haarlemmerbuurt,52.380435,4.888124
Hoofddorppleinbuurt,52.351672,4.85163
Jordaan,52.377211,4.88117
Museumkwartier,52.358915,4.88174
Negen straatjes,52.370399,4.884536
Oud-West,52.365485,4.870947
Oud-Zuid,52.348484,4.877462
Overtoomse Sluis,52.359984,4.858698
Plantagebuurt,52.364698,4.909166
Rijnbuurt,52.345526,4.906263
Scheldebuurt,52.343766,4.892224
Spiegelbuurt,52.36412,4.889252
Staatsliedenbuurt,52.382233,4.870997
Stadionbuurt,52.345838,4.861336
Watergraafsmeer,52.353688,4.930376
Weesperzijde,52.356022,4.912022
Willemspark,52.353427,4.868105
